Personality Name,Profession,Source,Link to Individual Personality Sheet,Posts,Instagram Followers,Total Posts Created,Total Posts Published,Engagement Status
Michael Ackerman,Photographers,,https://drive.google.com/drive/folders/1BUr22fm7PTJa2j9so6p3R2tQn_pupaR1?usp=drive_link,https://drive.google.com/drive/folders/1zVxwu-bvSL4e30QI1N77FL14RlkY4uOi?usp=drive_link,3565,,,
Franc Fernandez,Fashion Designers,,https://drive.google.com/drive/folders/1uCWl_mwvgeMFzoUJS9bDmcKA9-3La7A3?usp=drive_link,https://drive.google.com/drive/folders/1lNRaCvmXJ-djlGmCZzPThiRkYJJWy8FR?usp=drive_link,9965,,,
Natalie Portman,Actors,,https://drive.google.com/drive/folders/1FL7wXBEH7rtWLLJXqlh-vyNx96bHEV9q?usp=drive_link,https://drive.google.com/drive/folders/1a1XgqqIA8g4k6xj6P0TBBDqKMI4CKzHm?usp=drive_link,8.8M,,,
Robert De Niro,Actors,https://www.imdb.com/name/nm0000134,https://drive.google.com/drive/folders/1xmXXUk9LrbDxNiQkLKzdPwBa-WexrWsT?usp=drive_link,https://drive.google.com/drive/folders/1HU_JrYytJLu0nJxhZXS2VLgZnZv69AMh?usp=drive_link,,,,
Mark Zuckerberg,CEO,https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://drive.google.com/drive/folders/1jkgeWwzL2hpkIidTEEhzPvnSn0WdV8w7?usp=drive_link,,12.6M,,,
Awkwafina,Comedian,https://en.wikipedia.org/wiki/Awkwafina,https://drive.google.com/drive/folders/1sTBggX3Gkea_LiNWbFznctoFeIxmS-KP?usp=drive_link,,2.2M,,,
Anish Giri,Chess Player,https://www.chess.com/players/anish-giri,https://drive.google.com/drive/folders/1f7HCtlHZCCN0sZkKLAAxHo8MadcG8XHB?usp=drive_link,,,,,
Jack Nicholson,Actors,https://www.imdb.com/name/nm0000197,https://docs.google.com/document/d/1-EVDSj8WqacXbETXyW2zXlDu8OYtZO-01z6nOk6wyR0/edit,,,,,
Mario Carbone,Chef,,https://drive.google.com/drive/folders/1fuZpsjyEUgPgt9ua5WiBwMPJuE99f9kH?usp=drive_link,,,,,
Arianna Huffington,Entrepreneur,https://en.wikipedia.org/wiki/Arianna_Huffington,https://drive.google.com/drive/folders/1vI7B4pdrdFatGGGrxV4Gkvo5OtT2s7I2?usp=drive_link,,774K,,,
Denzel Washington,Actors,https://www.imdb.com/name/nm0000243,https://drive.google.com/drive/folders/1ZFKhicC2lVB8GulErH2eQxPS4HO4Io2t?usp=drive_link,,N/A,,,
Simu Liu,Actors,,https://drive.google.com/drive/folders/18ht-Cj6qrEPliy-ynjOCVut7WncqEmb3?usp=drive_link,,3.2M,,,
Julie Sweet,CEO,https://en.wikipedia.org/wiki/Julie_Sweet,https://drive.google.com/drive/folders/1IxABKjgmQuMozGyJU_hFkOm0AX3TLtL_?usp=drive_link,,,,,
Salma Hayek,Actors,https://www.imdb.com/name/nm0000161,https://drive.google.com/drive/folders/1FI5KFNVW7iZhLZK3iMAzVde-2v9mF8RP?usp=drive_link,,27M,,,
Mario Batali,Chef,https://en.wikipedia.org/wiki/Mario_Batali,https://drive.google.com/drive/folders/1jw83BiuP-HL0zSe_dh-6dUFtu3I910fm?usp=drive_link,,460K,,,
Nas,Musician,,https://drive.google.com/drive/folders/15Q6cgoZQoDYP7S4vFnKkkARRVx8BWais?usp=drive_link,,6.8M,,,
Sting,Musician,,https://drive.google.com/drive/folders/1k1cUZEOrklV-poVJ0utC403F23fzbtIm?usp=drive_link,,1.5M,,,
Taylor Swift,Musician,,https://drive.google.com/drive/folders/1Pi2WdNCRnfnmSsCE8BJuyBqzb7jCVKr9?usp=drive_link,,,,,
Malala Yousafzai,Activist,,https://drive.google.com/drive/folders/1zt8iMmvIjYVDvbItPo4tFEKP0S1KHjeJ?usp=drive_link,,,,,
Jordan Peterson,Clinical Psychologist,,https://drive.google.com/drive/folders/1Oey_x5_AQwI_m1T9WCvKYb9o567YVWfV?usp=drive_link,,,,,
Dmitry Ageev,Photographers,https://www.all-about-photo.com/photographers/photographer/474/dmitry-ageev,https://drive.google.com/drive/folders/1axQnd7rg0wgvs6uk7qxHZGzbND10VaFh?usp=drive_link,,,,,
Viola Davis,Actors,https://www.imdb.com/name/nm0205626,https://drive.google.com/drive/folders/1k-_jCAwB5qgAlMNQKSo_S05RgOEhP1Yh?usp=drive_link,,,,,
Lin Manuel Miranda,Actor and Writer,,https://drive.google.com/drive/folders/1Ks9CkPF7H1NTOGCVCy6VA3MGnTytBmw9?usp=drive_link,,,,,
Neil deGrasse Tyson,Scientist,,https://drive.google.com/drive/folders/1a8ogKn7Bj_iEtpfjNKPn7xo6NwkduY6z?usp=drive_link,,,,,
Victor Cruz ,NFL Player,,https://drive.google.com/drive/folders/1rqzvo7EUNCbIcF1P_THuekwlhI_paFMg?usp=drive_link,,,,,
Serena Williams ,Tennis Player,,https://drive.google.com/drive/folders/1al1eQTiGPLvqobZxsiycQaYZfMjFscGX?usp=drive_link,,,,,
Ronnie Feig ,Fashion Designers,,https://drive.google.com/drive/folders/17IYKKIuRadbqffTj_RS-UgUWPCdOMmy0?usp=drive_link,,,,,
Sarah Silverman,Comedian,,https://drive.google.com/drive/folders/1nH2hfYRDURfj6ogLGiGQqvkeOFzu9UHC?usp=drive_link,,,,,
Gary Vaynerchuk,Entrepreneur,,https://drive.google.com/drive/folders/1ofW2CYh363mT2WVFk6o1AiPlzTU0Raw1?usp=drive_link,,,,,
Mark Cuban,Entrepreneur,,https://drive.google.com/drive/folders/1PW5nHFFgFdIjLl4B5h0Ud_q2jXu7ER7Q?usp=drive_link,,2M,,,
Daymond John,Entrepreneur,,https://drive.google.com/drive/folders/1nosXeau1X-JoZlj2KldHLhAv8YUgB7j-?usp=drive_link,,1.4M,,,
Larry Ellison,Entrepreneur,,https://drive.google.com/drive/folders/1GP47Ap9ViMptIcR54jboZhro5Ngi7SCd?usp=drive_link,,N/A,,,
Jack Dorsey,Entrepreneur,,https://drive.google.com/drive/folders/16T_Tj1Bu2NSXfrzSdCSp2r1OO0MrcG2o?usp=drive_link,,N/A,,,
Alexandria Ocasio-Cortez,Politician,,https://drive.google.com/drive/folders/1-2eqe29aqXrSsXSl4gGvZxq5PXN_K3r7?usp=drive_link,,8.5M,,,
Timothée Chalamet,Actor,,https://drive.google.com/drive/folders/1ooPp64miDn8SP73Kwr5K6ajxCbvNSMX6?usp=drive_link,,18.6M,,,
Emma Stone,Actor,,https://drive.google.com/drive/folders/1d-FM-G5TBQEbin_noTs0MobBK32KrzPm?usp=drive_link,,N/A,,,
Jennifer Lawrence,Actor,,https://drive.google.com/drive/folders/14qz91nWOGM69nQMukIPSpsM5q5QsJtNI?usp=drive_link,,N/A,,,
Adele,Singer,,https://drive.google.com/drive/folders/1TS1kfmN5G9cgP7DXyhiwxiU-bLh5dwdX?usp=drive_link,,54.6M,,,
Rick Bayless,Chef,https://en.wikipedia.org/wiki/Rick_Bayless,https://drive.google.com/drive/folders/18aEtvwZaf5hIjwbVF0LGbzFFCWwOWOsf?usp=drive_link,,298K,,,
Lucinda Childs,Choreographer,https://en.wikipedia.org/wiki/Lucinda_Childs,https://drive.google.com/drive/folders/1KwKaM4EHjj5N3bvwZFBYeuZEULrHJVyT?usp=drive_link,,,,,
Keliy Anderson-Staley,Photographers,https://www.all-about-photo.com/photographers/photographer/363/keliy-anderson-staley,https://drive.google.com/drive/folders/1KQcWUqWEJhR9qz-ZxHibm_q1EfsowpNH?usp=drive_link,,,,,
Scott Zona,Botanists,https://en.wikipedia.org/wiki/Scott_Zona,https://drive.google.com/drive/folders/1kVL-74JbqXRPFsE6--pA-alHT982Crva?usp=drive_link,,,,,
Charles Woodburn,CEO,https://en.wikipedia.org/wiki/Charles_Woodburn,https://drive.google.com/drive/folders/1Z0rDPp23jTHBzpGwf0cBZccg_tEMdFI3?usp=drive_link,,,,,
Tapan Singhel,CEO,https://en.wikipedia.org/wiki/Tapan_Singhel,https://drive.google.com/drive/folders/1FGHd-P1rm2VSz5jB7FtRkk6fJ4XiVHeA?usp=drive_link,,,,,
Carlos Torres Vila,CEO,https://en.wikipedia.org/wiki/Carlos_Torres_Vila_(banker),https://drive.google.com/drive/folders/1VzuyQ3KutHxn-n73PHc5eL9P9xzJEl7x?usp=drive_link,,,,,
Dan Dunn,Caricaturists,https://en.wikipedia.org/wiki/Dan_Dunn_(cartoonist),https://drive.google.com/drive/folders/19Xseb2sxoDz4pfvvBtchAf3JjGY5fL3b?usp=drive_link,,,,,
Massimo Bottura,Chef,https://en.wikipedia.org/wiki/Massimo_Bottura,https://drive.google.com/drive/folders/1ulYGOl_qtwR7-Qioos3LCUXNBZbkx8wV?usp=drive_link,,,,,
Nihad Awad,Civil Rights Leader,https://www.usatoday.com/story/money/2020/06/07/19-of-the-most-influential-civil-rights-leaders-of-the-21st-century/111907158/,https://drive.google.com/drive/folders/1NfNsawTtkhwbOCyw6mlFuPCNA4qok7zp?usp=drive_link,,,,,
Jean Butler,Dancer,https://en.wikipedia.org/wiki/Jean_Butler,https://drive.google.com/drive/folders/1KO7MBr7VIrPwrHffhYxaQfopZ0-nrfBV?usp=drive_link,,,,,
Susan Athey,Economist,https://en.wikipedia.org/wiki/Susan_Athey,https://drive.google.com/drive/folders/1XRz2qPzF_fZ9aaJt_YgEIU2zk_u3OrnV?usp=drive_link,,,,,
Dmitry Sholokhov,Fashion Designer,https://en.wikipedia.org/wiki/Dmitry_Sholokhov,https://drive.google.com/drive/folders/18gg9fkdqqfWjC51EA2DaaJ6rA-YPmfFZ?usp=drive_link,,,,,
Kerry G. Johnson,Caricaturists,https://en.wikipedia.org/wiki/Kerry_G._Johnson,https://drive.google.com/drive/folders/1yo1NO6AahiCQnZVyfJueEuT6TMYeC98P?usp=drive_link,,,,,
Logan Westom,Photographers,,https://drive.google.com/drive/folders/11beoKzp0RoERFnDfHzYxDi8r1JLV_BvD?usp=drive_link,,N/A,,,
Sean Bankhead,Choreographer,,https://drive.google.com/drive/folders/1ibSlEd-92aq4-SCyrbe4IPXWR1BjyKIR?usp=drive_link,,486K,,,
Mo Amer,Comedian,https://en.wikipedia.org/wiki/Mo_Amer,https://drive.google.com/drive/folders/1xEz1qXg5RE5okg0WBso6mIuVgeU-6hTw?usp=drive_link,,294K,,,
