name,section
Adi Robertson,entertainment
Jay Castello,entertainment
Sean O'Kane,entertainment
Nick Statt,entertainment
Julia Alexander,entertainment
Taylor Lyles,entertainment
Joshua Rivera,entertainment
Monica Chin,entertainment
Sam Byford,entertainment
Ashley Carman,entertainment
Jay Peters,entertainment
Kim Lyons,entertainment
Cameron Faulkner,entertainment
Jon Porter,entertainment
Dani Deahl,entertainment
Jacob Kastrenakes,entertainment
Andrew Webster,entertainment
Natt Garun,entertainment
Chaim Gartenberg,entertainment
Megan Farokhmanesh,entertainment
Elizabeth Lopatto,entertainment
Chris Welch,entertainment
Stefan Etienne,entertainment
Tom Warren,entertainment
Cian Maher,entertainment
Bijan Stephen,entertainment
Andrew Marino,entertainment
D. M. Moore,entertainment
Alexis Ong,entertainment
Makena Kelly,entertainment
Verge Staff,entertainment
Zoë Schiffer,entertainment
Lewis Gordon,entertainment
Loren Grush,entertainment
T.C. Sottek,entertainment
Ana Diaz,entertainment
Aliya Chaudhry,entertainment
James Vincent,entertainment
Nilay Patel,entertainment
Sean Hollister,entertainment
Benjamin Wallace,entertainment
Alex Castro,entertainment
Andrew J. Hawkins,entertainment
Mary Beth Griggs,entertainment
Dieter Bohn,entertainment
Russell Brandom,entertainment
Grayson Blackmon,entertainment
Thomas Ricker,entertainment
Emily Ratajkowski,entertainment
Casey Newton,entertainment
Alan Wen,entertainment
Barbara Krasnoff,entertainment
The Verge Staff,entertainment
Kait Sanchez,entertainment
Ian Carlos Campbell,entertainment
Vjeran Pavic,entertainment
Kevin Nguyen,entertainment
Rebecca Alter,entertainment
William Joel,entertainment
Mitchell Clark,entertainment
Jen Chaney,entertainment
Justine Calma,entertainment
Luke Winkie,entertainment
Christopher Grant,entertainment
Alex Cranz,entertainment
Darmon Richter,entertainment
Michelle Krasovitski,entertainment
Ashley Bardhan,entertainment
Marc Griffin,entertainment
Vicki Behringer,entertainment
Catie Keck,entertainment
Bryan Menegus,entertainment
Brandon Widder,entertainment
Kristen Sinclair,entertainment
Richard Lawler,entertainment
George Yang,entertainment
Allison Johnson,entertainment
Alex Heath,entertainment
Andrea Plascencia,entertainment
Isaac Espinosa,entertainment
Stitch,entertainment
Ash Parrish,entertainment
Wilfred Okiche,entertainment
Vulture Staff,entertainment
Jordan Oloman,entertainment
Antonio G. Di Benedetto,entertainment
Diego Nicolás Argüello,entertainment
Brendan Bell,entertainment
Alice Jovanée,entertainment
Sheena Vasani,entertainment
Jennifer Pattison Tuohy,entertainment
Emma Roth,entertainment
Umar Shakir,entertainment
Alexander Chatziioannou,entertainment
Sara Merican,entertainment
Jasmine Hicks,entertainment
Reuben Baron,entertainment
Cheyenne M. Davis,entertainment
Charles Pulliam-Moore,entertainment
Eve Peyser,entertainment
Victoria Song,entertainment
Nicole Wetsman,entertainment
Aria Bracci,entertainment
Mia Sato,entertainment
David Pierce,entertainment
Sisi Jiang,entertainment
Ariel Shapiro,entertainment
Tauriq Moosa,entertainment
Scott Meslow,entertainment
Alicia Haddick,entertainment
Nathan Edwards,entertainment
Josh Dzieza,entertainment
Jesse Belinsky,entertainment
Samuel Fung,entertainment
nisha venkat,entertainment
David Arroyo,entertainment
Sarim Abbas,entertainment
Derek Hill,entertainment
Jess Weatherbed,entertainment
Sarah Jeong,entertainment
Corin Faife,entertainment
Chris Person,entertainment
Esther Cohen,entertainment
David Nield,entertainment
Janko Roettgers,entertainment
Allegra Rosenberg,entertainment
Dan Seifert,entertainment
Shannon Liao,entertainment
Callie Wright,entertainment
Natalie Weiner,entertainment
Daniel Oberhaus,entertainment
Gita Jackson,entertainment
Aron Garst,entertainment
Amrita Khalid,entertainment
Wes Davis,entertainment
Dan Rosenbaum,entertainment
John Romero,entertainment
Emilia David,entertainment
Quentyn Kennemer,entertainment
Callum Booth,entertainment
Sheon Han,entertainment
Joanna Nelius,entertainment
M.D. Rodrigues,entertainment
Aude White,entertainment
Lauren Feiner,entertainment
Gaby Del Valle,entertainment
Robyn Kanner,entertainment
Geoffrey Bunting,entertainment
William Poor,entertainment
Maxine Builder,tech
Kaitlin Hatton,tech
Becca Farsace,tech
Darryl Campbell,tech
Lori Keong,tech
Alix Diaconis,tech
Phil Esposito,tech
Dilpreet Kainth,tech
Amelia H. Krales,tech
Ali Winston,tech
Mariya Abdulkaf,tech
Jay Rosen,tech
Christopher Harland-Dunaway,tech
Alissa Walker,tech
Michael McDowell,tech
Joey Roulette,tech
Karl Bode,tech
Chantal Flores,tech
Emma Banks,tech
Kara Verlaney,tech
Helen Havlak,tech
The Strategist,tech
Liam O'Dell,tech
Scott Morris,tech
Brent Rose,tech
Matt Stroud,tech
Rob Pegoraro,tech
Dave Gershgorn,tech
Ryan Broderick,tech
Sophia Chen,tech
Karen Fischer,tech
Jordan Golson,tech
Mirna Rodriguez,tech
Jamal Burns,tech
Alexandra Marvar,tech
Zinara Rathnayake,tech
Decca Muldowney,tech
JR Raphael,tech
Sophie Hurwitz,tech
Kudrat Wadhwa,tech
Gloria Sin,tech
Andrew Wang,tech
Max Chafkin,tech
Rafi Letzter,tech
Philip Berne,tech
Nicole Froio,tech
Kristen Radtke,tech
Eleanor Cummins,tech
Maddie Stone,tech
David Strom,tech
Matt Smith,tech
Kim Zetter,tech
Claire L. Evans,tech
Shubham Agarwal,tech
Creighton DeSimone,tech
Jason Snell,tech
Amanda Chicago Lewis,tech
Liam James,tech
Micah Singleton,tech
Roberto Baldwin,tech
Katie Rothstein,tech
James Grimmelmann,tech
Ryan S. Gladwin,tech
Matt Morales,tech
Abigail Bassett,tech
Samantha Oltman,tech
Steven Aquino,tech
Joe Stanganelli,tech
Tom Henderson,tech
Aaron Corbett,tech
Mark Bergen,tech
Ethan Morgan,tech
Patrick George,tech
SangeetaSinghKurtz,tech
Tim Stevens,tech
Emme Hall,tech
Georgina Torbet,tech
Sara M. Watson,tech
Rob Dubbin,tech
Daniel Golson,tech
Lux Alptraum,tech
Jéssica Maes,tech
s.e. smith,tech
Pam Baker,tech
Masha Borak,tech
Simon Hurtz,tech
Jessica Lucas,tech
Ruben Salvadori,tech
Parker Ortolani,tech
Denise Cervantes,tech
Laura Martins,tech
Jade Drummond,tech
Cath Virginia,tech
nathan.edwards,tech
Owen Grove,tech
Kylie Robison,tech
Aria Alamalhodaei,science
Felicitas Carrique,science
Swagata Yadavar,science
Jeanette Moreland,science
Ike Sriskandarajah,science
Sanket Jain,science
Jody Serrano,science
Ashley Franzen,science
Kathleen Wong,science
Jordyn Haime,science
Rebecca Sohn,science
Lizzie Philip,science
Sebastián Rodríguez,science
Amelia Holowaty Krales,science
Christopher Reardon,cars
dgolson,cars
Steven Ewing,cars
Taylor Dorrell,cars
Kevin Williams,cars
Tamara Warren,cars
