name,section
William Turton,politics
Steven Levy,politics
WIRED Staff,politics
Leah Feiger,politics
Peter Guest,politics
Andy Greenberg,politics
Andrew Couts,politics
Vittoria Elliott,politics
Makena Kelly,politics
Dell Cameron,politics
David Gilbert,politics
Tess Owen,politics
Kate Knibbs,politics
Katie Drummond,politics
Emily Mullin,politics
Thor Benson,politics
Brian Barrett,politics
Morgan Meaker,politics
Elliot Ackerman,politics
Garrett M. Graff,politics
Jason Parham,politics
Matt Laslo,politics
Yashraj Sharma,politics
Eliza Gkritsi,politics
Parth M.N.,politics
Darren Loucaides,politics
Byron Tau,backchannel
Jaron Lanier,backchannel
Lauren Goode,backchannel
Virginia Heffernan,backchannel
Hemal Jhaveri,backchannel
Vadim Smyslov,backchannel
Robert Peck,backchannel
Kat McGowan,backchannel
Khari Johnson,backchannel
Tom Vanderbilt,backchannel
Laura Kipnis,backchannel
Caitlin Kelly,backchannel
Brandi Collins-Dexter,backchannel
Brendan I. Koerner,backchannel
Lauren Smiley,backchannel
Angela Watercutter,backchannel
Ben Ash Blum,backchannel
Lexi Pandell,backchannel
Camille Bromley,backchannel
Vauhini Vara,backchannel
Charlotte Shane,backchannel
Jennifer Kahn,backchannel
Ngofeen Mputubwele,backchannel
Gregory Barber,backchannel
Amit Katwala,backchannel
Christopher Beam,backchannel
Maria Streshinsky,backchannel
Rachel Nuwer,backchannel
Zak Jason,backchannel
Malcolm Harris,backchannel
Kim Zetter,backchannel
Megan Greenwell,backchannel
Amy Martyn,backchannel
Cody Cassidy,backchannel
Wil Sands,backchannel
Stephen Lurie,backchannel
Vince Beiser,backchannel
Benoît Morenne,backchannel
John Semley,backchannel
Charles Platt,backchannel
Scott Gilbertson,backchannel
Jason Kehe,backchannel
Justin Smith-Ruiu,backchannel
Antonia Juhasz,backchannel
Sonya Bennett-Brandt,backchannel
Brooke Jarvis,backchannel
Jordan Crucchiola,backchannel
Eve Fairbanks,backchannel
Susana Ferreira,backchannel
Dylan Walsh,backchannel
Caitlin Harrington,backchannel
Kevin Kelly,backchannel
Adrienne So,backchannel
Jason Anthony,backchannel
Randall Munroe,backchannel
Jeffrey Ball,backchannel
Thu-Huong Ha,backchannel
Mark Harris,backchannel
Benjamin Wofford,backchannel
Ruha Benjamin,backchannel
Mike Mariani,backchannel
Marion Renault,backchannel
Anthony Lydgate,backchannel
Michael Venutolo-Mantovani,backchannel
Nancy Scola,backchannel
Paul Starobin,backchannel
Rowan Moore Gerety,backchannel
Gilad Edelman,backchannel
Susie Cagle,backchannel
Suzanne Sataline,backchannel
Geoffrey Cain,backchannel
Mary Retta,backchannel
Scott Carney,backchannel
Fábio Zuker,backchannel
Katrina Miller,backchannel
Arielle Pardes,backchannel
Amanda Chicago Lewis,backchannel
Will Coldwell,backchannel
Matt Reynolds,backchannel
Mark Robinson,backchannel
Lina Abascal,backchannel
Chantel Tattoli,backchannel
Sonia Paul,backchannel
Becca Andrews,backchannel
Daniel Duane,backchannel
Dave Eggers,backchannel
Sandra Upson,backchannel
Will Evans,backchannel
Laura Hudson,backchannel
Adam Rogers,backchannel
Victor Luckerson,backchannel
Evan Lubofsky,backchannel
Kai-Fu Lee,backchannel
Aviva Stahl,backchannel
Geoff Manaugh,backchannel
Lindsay Gellman,backchannel
Noelle Mateer,backchannel
Clive Thompson,backchannel
Maia Szalavitz,backchannel
Meghan O'Gieblyn,backchannel
Cecilia D'Anastasio,backchannel
Marcel Agüeros,backchannel
Megan Molteni,backchannel
Brad Stone,backchannel
Suzanne Simard,backchannel
Tom Simonite,backchannel
Neil Singh,backchannel
Tristan Kennedy,backchannel
Jimi Famurewa,backchannel
James Temperton,backchannel
Cade Metz,backchannel
Seema Yasmin,backchannel
Stephen S. Hall,backchannel
Bianca Nogrady,backchannel
Sarah Freeman,backchannel
Mark Synnott,backchannel
Jesse Jarnow,backchannel
Kate Darling,backchannel
Greg Williams,backchannel
Eric Adams,backchannel
Joe Parkinson,backchannel
Roxanne Khamsi,backchannel
Eva Holland,backchannel
Sean Williams,backchannel
Arthur Holland Michel,backchannel
Erika Hayasaki,backchannel
Alden Wicker,backchannel
David Cox,backchannel
Patrice Peck,backchannel
Rachel Lance,backchannel
Kenneth R. Rosen,backchannel
Nick Thompson,backchannel
Nicholas Thompson,backchannel
Sarah Elizabeth Richards,backchannel
Alex Davies,backchannel
Sarah Fallon,backchannel
João Medeiros,backchannel
Chiara Eisner,backchannel
Chris Baraniuk,backchannel
Oliver Franklin-Wallis,backchannel
Elisabeth Eaves,backchannel
Lux Alptraum,backchannel
Max Kutner,backchannel
Quinci LeGardye,backchannel
Sarah Scoles,backchannel
Yi-Ling Liu,backchannel
Geoff White,backchannel
Timothy McLaughlin,backchannel
"Alex Lee, WIRED UK",backchannel
Sonner Kehrt,backchannel
Graham Hacia,backchannel
Adam Federman,backchannel
Lily Hay Newman,backchannel
Jack Hitt,backchannel
Layal Liverpool,backchannel
Amos Barshad,backchannel
K. J. Yossman,backchannel
