person_id,person_name,firm_name
4611,Mark Suster,Upfront Ventures
19578,Elizabeth Yin,Hustle Fund
275,Gokul Rajaram,
459,Mike Brown Jr,Bowery Capital
656,Nihal Mehta,ENIAC Ventures
428,Adam Draper,Boost VC
3001,Sunil Rajaraman,Sequoia Capital
1123,Joe Hurd,"The Katama Group, LC"
2303,Maarten Hooft,Quest Venture Partners
449,Seth Berman,Susa Ventures
212,Andrea Zurek,XG Ventures
1268,Ajay Chopra,Trinity Ventures
107,Chris Fralic,First Round Capital
17150,Dmitry Firskin,Altair Capital Management
13879,David Beisel,NextView Ventures
423,Arjun Sethi,Tribe Capital
319,Jay Levy,Zelkova Ventures
3580,Eyal Gura,Webtalk Ltd
113,Rob Hayes,First Round Capital
2235,Eva Ho,Fika Ventures
6697,Dylan Boyd,R/GA Ventures
78871,Zach Bratun-Glennon,Gradient Ventures
122610,Matt Freeman,Bain Capital
2883,Arjun Arora,Expa
5647,Kevin Weatherman,KW Angel Fund
214,Lee Linden,Quiet Capital
5990,James Smits,KohFounders
72495,EJ Lawless,Hustle Fund
79134,Nadia Boujarwah,Founder Collective
79133,Jack Groetzinger,Founder Collective
256,Georges Harik,
670,Mark Cuban,
19343,Jose Vieitez,Boomtown Accelerator
22455,Adam Cragg,Quake Capital
71312,Ellen DaSilva,Sequoia Capital
13824,Rouven Dresselhaus,Cavalry Ventures
13995,Jordan Wahbeh,SV Venture Group
582,Michael Kim,Cendana Capital
784,Nat Turner,Operator Partners
1651,Ilya Fushman,Kleiner Perkins
22315,Tom Horsey,Eoniq.fund
8755,Nico Lumma,next media accelerator GmbH
23710,Brian Yormak,Story Ventures
1219,Clint Chao,Moment Ventures
13528,Avichay Nissenbaum,lool ventures
295,Sam Teller,LaunchPad
48710,Rob Eldridge,Tapas Capital
231,Yun-Fang Juan,Brighter Capital
27958,Drew Leahy,Hawke Ventures
495,Gonzalo Costa,NXTP Labs
776,John Richards,Startup Ignition Ventures
30754,Mikhail Kalashnikov,FunCubator
21167,Bryan Rosenblatt,Craft Ventures
42382,Andy Theronier,Greystone Group Inc.
30750,Ilya Inozemtsev,FunCubator
34355,Brian Mehler,Block.one
19177,Eldar Buchris - Krypton VC,Krypton Venture Capital 4.0
52276,Amir Khan,Marl 5G Accelerator
584,Daniel Recanati,Rhodium
400,Sonja Perkins,The Perkins Fund
37398,Gustavo Souza,SaaSholic Fund
48581,DAVID SARGEANT,IGAMING IDEAS
24762,Matthew Lydecker,Luma Launch
38034,Andrew Gluck,
166723,Patrick J. Ennis,Madrona Ventures
733,Stuart Larkins,Chicago Ventures
54643,Saba Karim,Techstars
40139,Anand Thaker,PDM6
8889,Nyasha Samhembere,Blacksheep Media
5185,Fred Destin,Stride VC
29739,Jag Singh,Angel Invest
23503,Kevin Siskar,Firehouse Fund
54976,Christopher Chin,Amsun Holdings LLC
361,Anand Swaminathan,Accenture
24999,Eran Savir,Savyon Ventures
325,Andrew Montgomery,MESA Ventures
79000,Trey Taylor,"Threadneedle.com, the Taylor Family Office"
110495,Cyril Paglino,Shift Capital
72430,Aaron Samuels,Collide Capital
50702,Ekaterina Bychkova,10100
39612,Dmytro Dvurechenskyi,OpenGeeksLab
402,Mikihiro Yasuda,DeNA
24947,Emily Baum,NYU Innovation Venture Fund
21919,Inbal Shenfeld kolodziejska,Inba Shenfeld holdings
3908,Robert Neivert,500 Global
119328,Sergei Zaitsev,Playrix
420,David Beyer,Amplify Partners
74060,Paul Ehlinger,Sixty8 Capital
357,Raj Sandhu,Great Oaks Venture Capital
74749,Tim Thimmaiah,Black Jays Investments
120584,Michael Peres (Mikey Peres),Michael Peres
62596,Gautam Shewakramani,On Deck
298,David Wanek,Western Technology Investment
300,Chris Redlitz,Transmedia Capital
109504,Brentos Fernandez,Listen 
173847,Drew Himel,Everywhere Ventures (The Fund)
53857,Michael Yuann,Blue Ivy Ventures
154396,Brennan Plaetzer,Page56 Capital
769,John Ason,Kewpie Associates
77968,Kate Seledets,OneValley Ventures
25646,Dan Povitsky,Vine Ventures LP
78819,Isaac Mashman,Mashman Investments
51872,Nick van Breda,Nick van Breda Consultancy
107739,Iman Khatibzadeh,10x Investor Club
11093,Adam Corey,Village Global
118393,Carl Johan Grandinson,True Global Ventures
163976,Peter Bordes,Trajectory Ventures
157575,Michael Wieser,Westchester Angels
157572,Sandy Wollman,Westchester Angels
151158,David Eisenberg,LiveRamp Ventures
144000,Ana Lucrecia Glaesel Coloma,Cacao Capital VC
143107,Lina Maria Cuervo,Cube Ventures Accelerator
88785,Santiago Rojas Montoya,Cube Ventures Accelerator
142740,Jeff Boeh,gener8tor
141108,Gary Benerofe,Mu Ventures
717,Mike Collett,Promus Ventures
122440,Joe Magyer,Seaplane Ventures
92543,Vincent Zirah,GeniusLix
114039,Michelle McCarthy,Verizon Ventures
91951,Jennifer Keiser Neundorfer,January Ventures
114033,Tammy Mahn,Verizon Ventures
91901,Dane McDonald,Batshit Crazy Ventures
91892,Alexander Bogusky,Batshit Crazy Ventures
96202,Francois Paulus,Breega
78969,Hunter Babcock,Atland Ventures
110387,Philippe Besnard,Pentagram Ventures
98136,Jason Klein,On Grid Ventures
96448,Alexander Kudlich,468 Capital
108489,Sanja Partalo,S4S Ventures
73321,Brian Pitz,AmTech Partners
108855,Daniel Merja,Founders Committee
370,Peter Boboff,Transmedia Capital
16128,Rex Rhew,
3617,Liron Rose,Rose Innovation Ltd
288,David Wieland,IrishAngels
113940,Ajay Patel,Verizon Ventures
149174,Steve Johnston,Pioneer Fund
102066,Anu Shukla,Elevate Capital
25072,Mohammad Hossain,Web Spider Global Inc.
114040,Chris Bartlett,Verizon Ventures
107964,Jeff Levick,Kitchen Table Partners
114205,Yaniv Ben-Atia,44 Ventures
97507,Axel Nitsch,High-Tech Gründerfonds
92549,Jake Cohen,Vinyl Capital
698,Ryan T. Melohn,Expansion Venture Capital
33777,Dr Ruchi Dana,FundRx
146152,Parth Bhatnagar,Aurelia Ventures
237,Brion Lau,iTalent Corporation
98220,Nabil Meralli,Magma Partners
110776,Anderson de Andrade,Invisto
173846,Dieter Rappold,QBIT Capital
81044,Guga Stocco,Koolen and Partners
111065,Allister Lam,Decasonic
21416,Andrew Hatcher,Contexxt Limited
63986,Henry Ault,Ault Krug Ventures
99815,Michael Stephanblome,Eight Roads Ventures
113937,Tom Arnost,Verizon Ventures
